nutrition_simplified
name,protein,fat,carbs,Macro
sweet sour sauce,0.02,0.08,6.7,carbs
salsa verde,0.2,0.1,1.0,carbs
miso,2.6,1.2,5.1,carbs
sprouted soybean cooked,8.0,4.2,6.1,protein
soy flour roasted,29.6,18.6,28.6,protein
soy flour low fat,40.0,7.8,30.7,protein
green soybean cooked,11.1,5.8,9.9,protein
azumaya tofu vitasoy,32.8,16.6,9.1,protein
soy proteins isolate,22.8,1.0,2.1,protein
tofu yogurt,9.2,4.7,41.8,carbs
bacon meatless,15.4,42.5,9.1,fat
meatless chicken fried,27.7,16.6,11.1,protein
soymilk,7.1,4.8,8.4,carbs
soy vermicelli,0.1,0.1,115.2,carbs
tofu fried,2.4,2.6,1.2,fat
tempeh,30.8,17.9,15.6,protein
koyadofu,8.9,5.2,1.7,protein
meatless meatloaf,11.8,5.0,4.5,protein
soya vanille joghurt alpro,0.3,0.6,1.0,carbs
soybean curd cheese,28.1,18.2,15.5,protein
soy sauce,1.3,0.05,0.8,protein
soybean dry roasted,36.8,20.1,30.4,protein
soybean oil,0.0,13.6,0.0,fat
meatless chicken,39.7,21.4,6.1,protein
soybean cooked,28.6,15.4,17.1,protein
soymilk nonfat,6.0,0.05,10.1,carbs
soy flour,1.8,1.1,1.8,protein
soybean lecithin oil,0.0,13.6,0.0,fat
tofu raw,20.0,11.9,4.7,protein
soy chips,7.5,2.1,15.0,carbs
green soybean raw,33.2,17.4,28.3,protein
soy proteins concentrate,18.0,0.1,7.2,protein
soybean margarine,0.05,3.8,0.04,fat
chocolate soymilk nonfat,6.0,0.05,20.7,carbs
okara,3.9,2.1,15.3,carbs
meatless meatballs,30.2,13.0,11.5,protein
vanilla soymilk,7.9,4.3,15.3,carbs
soy meal raw,54.8,2.9,49.0,protein
soymilk low fat,4.0,1.5,17.5,carbs
sprouted soybean raw,9.2,4.7,6.7,protein
soybean raw,67.9,37.1,56.1,protein
tempeh cooked,5.1,3.2,2.6,protein
vanilla soymilk light,6.4,2.1,9.4,carbs
chocolate soymilk,5.5,3.7,24.2,carbs
